STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,1999-06,,18.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,1999-07,,18.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,1999-08,,18.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,1999-09,,18.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,1999-10,,18.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,1999-11,,18.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,1999-12,,18.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-01,,17.7,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-02,,17.7,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-03,,17.7,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-04,,17.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-05,,17.4,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-06,,17.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-07,,17.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-08,,17.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-09,,17.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-10,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-11,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2000-12,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-01,,16.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-02,,16.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-03,,15.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-04,,16.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-05,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-06,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-07,,16.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-08,,16.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-09,,15.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-10,,16.4,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-11,,16.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2001-12,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-01,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-02,,16.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-03,,16.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-04,,15.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-05,,15.7,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-06,,15.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-07,,15.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-08,,15.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-09,,15.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-10,,15.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-11,,15.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2002-12,,15.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-01,,15.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-02,,14.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-03,,14.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-04,,14.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-05,,14.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-06,,14.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-07,,15.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-08,,15.0,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-09,,15.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-10,,15.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-11,,15.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2003-12,,15.4,,d,definition differs (see metadata),,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-01,,16.7,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-02,,16.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-03,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-04,,16.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-05,,16.4,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-06,,16.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-07,,16.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-08,,16.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-09,,16.3,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-10,,16.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-11,,16.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2004-12,,15.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-01,,15.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-02,,15.4,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-03,,15.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-04,,15.6,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-05,,15.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-06,,15.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-07,,15.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-08,,15.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-09,,15.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-10,,15.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-11,,14.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2005-12,,14.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-01,,13.9,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-02,,14.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-03,,14.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-04,,14.1,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-05,,13.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-06,,13.8,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-07,,13.7,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-08,,13.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-09,,13.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-10,,13.2,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-11,,13.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2006-12,,13.7,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2007-01,,13.5,,,,,
dataflow,ESTAT:UNE_RT_M(1.0),Unemployment by sex and age - monthly data,M,Monthly,SA,"Seasonally adjusted data, not calendar adjusted data",TOTAL,Total,PC_ACT,Percentage of population in the labour force,F,Females,EL,Greece,2007-02,,13.4,,,,,
